sentence_type,country,msg_type,repeat,mmsi,status,turn,speed,accuracy,lon,lat,course,heading,second,maneuver,raim,radio,ais_version,imo,callsign,shipname,ship_type,to_bow,to_stern,to_port,to_starboard,epfd,month,day,hour,minute,draught,destination,dte
AIVDM,Liberia,1,0,636018102,0,0.0,12.3,False,72.916573,14.413788,155.1,153,12,0,False,49484,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.3,True,72.931107,15.296812,177.0,179,11,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,South Korea,1,0,440163000,8,0.0,12.5,True,71.146047,15.860363,136.4,138,9,0,False,2235,,,,,,,,,,,,,,,,,
AIVDM,Singapore,1,0,563361000,0,0.0,17.7,False,71.999013,15.99049,147.9,148,32,0,False,24600,,,,,,,,,,,,,,,,,
AIVDM,Barbados,1,0,314876000,0,0.0,11.7,True,70.123333,13.790652,64.4,65,9,0,False,2249,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538007463,0,0.0,11.8,False,71.832923,15.599777,336.5,337,11,0,False,82469,,,,,,,,,,,,,,,,,
AIVDM,Malta,1,0,229716000,0,0.0,12.1,True,72.496883,13.934437,320.7,321,9,0,False,82230,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.2,True,72.931107,15.296783,178.2,179,12,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Malta,1,0,215217000,0,-2.0,15.3,False,70.877838,18.422925,115.9,116,12,0,False,24600,,,,,,,,,,,,,,,,,
AIVDM,Panama,1,0,372781000,0,0.0,12.4,True,67.288183,15.708667,320.0,324,10,0,False,33270,,,,,,,,,,,,,,,,,
AIVDM,Vietnam,1,0,574005600,0,0.0,14.3,True,72.907067,14.206117,132.0,133,13,0,False,24600,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.2,True,72.931105,15.296753,177.7,179,13,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Hong Kong,1,0,477242800,0,0.0,13.7,True,67.032835,16.079047,143.8,143,11,0,False,66056,,,,,,,,,,,,,,,,,
AIVDM,Japan,1,0,431938000,0,0.0,14.5,False,69.586567,15.085712,140.9,142,11,0,False,66062,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538009790,0,0.0,10.9,True,72.13495,15.188867,326.0,329,13,0,False,49519,,,,,,,,,,,,,,,,,
AIVDM,Malta,1,0,215577000,0,0.0,17.1,True,69.743507,14.662008,129.4,127,13,0,False,66083,,,,,,,,,,,,,,,,,
AIVDM,Panama,1,0,354252000,0,0.0,12.7,False,72.01109,14.789408,331.2,332,15,0,False,82375,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.2,True,72.931107,15.296722,176.7,179,14,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Liberia,1,0,636019669,0,0.0,11.8,True,69.522792,14.937405,135.2,135,13,0,False,24600,,,,,,,,,,,,,,,,,
AIVDM,Iran,1,0,422037100,0,0.0,10.2,False,74.124323,12.167177,331.1,330,14,0,False,66104,,,,,,,,,,,,,,,,,
AIVDM,Palau,1,0,511101414,0,-9.0,11.8,False,73.326213,15.40915,329.0,328,12,0,False,197187,,,,,,,,,,,,,,,,,
AIVDM,Liberia,1,0,636015484,0,0.0,12.5,True,71.046417,15.13438,122.5,123,13,0,False,66122,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.2,True,72.931105,15.296692,176.9,179,15,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Guinea-Bissau,1,0,630001194,0,0.0,16.1,True,72.967,15.774657,168.8,168,16,0,False,133350,,,,,,,,,,,,,,,,,
